,BirthYear,HasSibling,Age,Sex,SingleorDoubleParent,EMP_HOURS_17,EMP_HOURS_18,EMP_HOURS_19,EMP_HOURS_20,EMP_HOURS_21,EMP_HOURS_22,EMP_HOURS_23,EMP_HOURS_24,EMP_HOURS_25,EMP_HOURS_26,EMP_HOURS_27,EMP_HOURS_28,EMP_HOURS_29,EMP_HOURS_30,EMP_HOURS_31,EMP_HOURS_32,EMP_HOURS_33,EMP_HOURS_34,EMP_HOURS_35,EducationStat_17,EducationStat_18,EducationStat_19,EducationStat_20,EducationStat_21,EducationStat_22,EducationStat_23,EducationStat_24,EducationStat_25,EducationStat_26,EducationStat_27,EducationStat_28,EducationStat_29,EducationStat_30,EducationStat_31,EducationStat_32,EducationStat_33,EducationStat_34,EducationStat_35,FinalRelationshipStat_17,FinalRelationshipStat_18,FinalRelationshipStat_19,FinalRelationshipStat_20,FinalRelationshipStat_21,FinalRelationshipStat_22,FinalRelationshipStat_23,FinalRelationshipStat_24,FinalRelationshipStat_25,FinalRelationshipStat_26,FinalRelationshipStat_27,FinalRelationshipStat_28,FinalRelationshipStat_29,FinalRelationshipStat_30,FinalRelationshipStat_31,FinalRelationshipStat_32,FinalRelationshipStat_33,FinalRelationshipStat_34,FinalRelationshipStat_35
2951,1981,0,16,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,1,1,1,2,2,2,2,2,2,2,4,6,6,6,6,6
2959,1984,0,13,0,0,1,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,0,8,10,10,10,10,4,4,4,10,10,10,10,10,6,6,6,6,6,6,0,0,0,0,0,0,3,1,1,1,1,1,3,3,3,3,3,1,1
2971,1980,0,17,0,0,0,2,1,2,0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,8,1,1,1,1,1,2,2,2,2,2,10,10,10,10,6,6,6,6,0,0,1,2,4,4,2,4,6,6,6,6,6,6,6,6,6,6,6
2972,1981,0,16,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,1,2,2,0,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,0,0,0,2,2,2,2,2,2,2,2,2,2,4,6,6,6,6,6
2974,1980,0,17,0,0,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,8,8,3,3,9,9,9,4,4,4,4,4,4,9,9,10,10,10,6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5
2976,1982,0,15,1,0,1,1,0,2,2,2,2,2,1,2,2,2,2,0,2,2,2,2,2,8,10,10,10,10,10,10,4,4,4,4,4,9,5,5,5,5,5,5,1,1,1,3,1,1,1,1,1,3,3,3,1,1,5,5,5,7,7
2980,1981,0,16,1,0,1,1,1,0,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,8,10,10,10,6,6,6,6,6,6,6,6,6,6,6,10,10,6,11,0,1,1,1,1,1,3,6,6,8,8,8,8,8,8,8,8,6,6
2982,1983,0,14,0,1,2,2,2,0,0,2,0,0,0,0,0,0,2,2,2,2,2,2,2,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,4,6,6
2985,1981,0,16,1,0,0,2,2,2,2,0,2,2,0,2,2,1,2,0,0,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,8,8
2986,1980,1,17,0,0,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,10,10,10,10,11,7,7,7,7,7,7,7,7,7,7,7,7,7,0,1,2,2,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6
2997,1982,0,15,0,0,2,2,2,0,2,0,2,2,2,2,0,0,0,0,0,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,2,2,2,2,2,2,6,6,6,6,6,8,8,8,8
2998,1982,1,15,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,8,10,10,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,1,1,1,1,1,3,1,1,1,1,1,1,1,1
3005,1984,1,13,0,1,2,2,2,2,2,2,0,0,0,0,0,0,0,2,2,2,2,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,10,10,10,2,2,2,2,2,4,6,6,6,6,6,6,6,8,8,8,8,6,6
3008,1980,1,17,1,1,2,0,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,8,8,3,3,9,4,4,4,4,9,4,4,9,9,5,5,5,10,6,3,2,6,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,6
3012,1982,0,15,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3017,1980,1,17,1,0,1,0,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,10,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5,5
3019,1983,1,14,1,0,0,1,2,0,0,2,2,2,2,1,1,2,2,2,2,2,2,2,2,8,10,10,4,4,4,4,4,4,4,4,4,4,4,9,5,5,5,5,0,2,2,2,4,4,4,4,2,4,2,2,2,2,2,4,4,4,4
3021,1984,0,13,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,2,2,2,2,2,4,4,4,2,4,4,4,4,4,4,4,2,2
3022,1983,0,14,1,1,1,1,2,1,2,0,2,0,0,0,0,0,0,0,0,1,1,1,1,8,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6
3025,1982,0,15,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,8,8,10,10,10,10,10,6,6,6,6,6,6,6,6,6,11,11,11,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5
3026,1983,1,14,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,2,0,2,2,2,2,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3030,1982,1,15,0,1,1,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,3,10,10,10,10,10,11,7,7,7,7,7,7,7,7,7,7,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3031,1984,1,13,1,1,1,1,2,2,2,0,2,2,1,2,2,2,2,2,2,2,2,2,2,8,9,9,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3033,1982,0,15,1,1,1,1,1,1,2,1,0,2,2,2,2,2,2,0,2,2,2,2,2,8,8,9,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3035,1984,1,13,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,9,10,10,10,10,10,9,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
3037,1984,0,13,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,3,3,4,9,4,4,4,4,10,10,10,10,10,10,6,6,2,2,2,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6
3038,1983,0,14,0,1,0,0,0,2,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,8,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3040,1980,0,17,1,1,0,0,2,2,2,2,2,0,1,1,1,2,2,1,2,2,2,2,2,8,8,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3041,1982,0,15,1,0,0,1,1,1,2,2,2,2,1,1,2,1,1,1,1,2,2,2,2,8,10,10,10,10,10,10,6,9,6,6,10,10,10,10,6,6,6,6,0,0,1,1,1,1,1,1,3,3,3,5,5,5,5,5,5,5,5
3046,1980,1,17,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3049,1982,0,15,0,1,0,0,0,0,0,0,2,2,2,2,0,2,2,2,2,2,2,2,2,8,8,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,2,2,2,2,4,4,6,6,6,8,8,8,8,6,6,6,6
3053,1982,0,15,0,0,0,2,1,1,2,0,0,0,1,2,2,2,2,2,2,2,2,0,2,8,8,9,9,9,10,10,10,10,6,6,6,6,6,6,6,6,6,6,0,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,3
3054,1980,1,17,1,1,2,2,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,2,2,8,3,4,4,4,4,4,4,4,4,4,4,10,10,10,10,6,6,6,0,1,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3058,1984,1,13,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,8,3,3,3,3,3,3,10,10,10,10,6,6,6,6,6,6,6,6,0,0,1,1,1,1,1,3,3,3,3,5,5,5,5,5,5,5,5
3059,1981,0,16,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,4,4,6,6,6,6,6,6,6,6,6
3062,1983,1,14,0,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,8,8,9,4,9,10,10,10,10,6,6,6,6,6,6,6,6,6,6,0,0,1,1,2,2,2,2,2,2,6,6,6,6,6,6,6,6,8
3063,1980,0,17,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,8,9,9,9,4,9,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6
3067,1980,1,17,1,1,1,1,2,0,2,2,2,2,2,2,0,0,0,0,0,1,1,0,0,8,9,9,9,9,4,10,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6
3070,1982,0,15,0,1,0,0,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,8,9,9,10,10,10,11,11,6,6,11,11,11,11,11,7,7,7,7,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3072,1983,0,14,1,0,0,0,1,2,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,8,8,3,3,3,3,4,9,9,5,5,5,5,5,5,5,5,5,5,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3081,1983,0,14,1,1,1,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,10,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,2,2,2,4,6,6,6,6,6,6,6,6,6,6,6
3083,1980,0,17,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,10,10,10,6,6,6,6,6,6,6,11,11,6,6,6,6,6,1,1,1,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6
3087,1982,0,15,1,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,9,9,9,10,4,9,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,3,3,3,3,5,5,5,5,5,5,5,5
3089,1982,1,15,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,1,1,1,1,3,3,3,1,1,1,1,1,3,1,1,1,1
3091,1981,1,16,0,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3093,1982,0,15,1,1,1,1,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,8,8,3,9,10,10,11,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5
3095,1982,0,15,0,1,0,0,1,0,2,2,2,0,2,0,0,2,0,0,2,1,1,2,2,8,8,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,4,4,4,2,4,6,8,8,6,8,8,8,8
3096,1981,1,16,0,0,0,2,2,0,0,0,2,0,2,2,2,0,0,2,2,2,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7
3099,1980,0,17,1,0,0,2,0,2,0,2,2,0,2,0,1,0,2,0,0,2,2,2,2,8,8,3,3,3,3,3,9,9,9,9,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,3,3
3102,1981,1,16,0,1,0,2,2,0,0,0,0,0,2,0,2,2,2,2,0,0,0,0,0,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,2
3103,1983,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3104,1984,0,13,0,0,1,0,2,2,2,2,0,0,0,2,0,1,2,2,0,2,2,0,1,8,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3113,1980,1,17,0,0,2,2,2,2,0,0,0,2,2,2,2,2,0,0,2,2,0,0,0,8,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3115,1984,1,13,0,0,0,1,1,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,8,9,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,1,1,1,1,1,1,1,3,3,3,3,3,5,5,5
3117,1983,0,14,1,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4
3120,1983,1,14,1,0,1,2,1,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,8,3,3,3,3,3,3,3,3,3,9,4,4,4,4,4,4,4,4,4,2,4,2,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8
3122,1980,0,17,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,8,9,10,10,10,10,11,11,11,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3123,1980,1,17,1,1,2,1,0,0,2,0,0,2,0,1,1,2,1,0,0,0,0,1,0,8,8,8,3,3,3,3,3,3,9,10,10,4,4,4,4,4,4,4,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3124,1984,1,13,0,1,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,8,8,2,2,2,2,2,2,2,2,9,9,9,9,9,5,5,5,5,1,2,2,6,6,6,6,8,8,6,6,6,6,6,6,6,6,6,6
3126,1980,0,17,1,1,1,1,0,0,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,8,8,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,0,1,1,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6
3127,1982,0,15,1,1,0,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,8,10,10,10,10,10,6,6,6,6,6,6,11,7,11,11,7,7,7,2,2,2,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6
3133,1982,1,15,1,1,1,1,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,8,10,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3135,1981,0,16,0,1,0,0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,8,8,10,10,10,10,11,11,11,11,7,7,7,7,7,7,7,7,7,1,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3139,1982,0,15,0,1,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2,8,10,4,5,5,5,9,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1
3140,1982,0,15,0,0,0,0,1,2,2,2,0,2,2,2,1,0,1,1,2,2,2,2,2,8,3,3,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,6,0,3,3,1,1,1,1,4,2,2,2,4,2,4,4,6,6,6,6
3143,1982,1,15,0,0,1,2,2,0,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6
3144,1984,1,13,1,0,0,0,0,2,2,2,0,1,1,1,1,1,2,2,0,0,0,0,0,8,3,3,3,3,3,4,4,4,4,10,6,6,6,6,6,6,6,6,2,2,2,2,4,2,4,2,2,2,2,2,4,4,2,2,2,4,6
3145,1984,0,13,0,0,0,0,2,1,1,0,2,2,2,2,2,1,0,2,2,2,1,2,2,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,2,2,2,2,2,6,6,6,6,6,6,6,6,8,8,8,8,8
3152,1980,0,17,1,0,1,1,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,10,9,9,9,10,4,10,10,6,6,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3
3154,1980,0,17,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,9,9,9,5,5,5,5,5,5,5,5,10,10,10,6,6,6,6,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3156,1981,0,16,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3158,1983,0,14,1,0,1,1,0,1,1,0,2,2,2,2,2,2,0,0,0,0,0,0,0,8,1,1,1,1,1,1,1,1,1,2,2,2,10,10,10,10,10,6,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3159,1981,0,16,1,0,0,1,1,1,1,2,0,2,2,2,2,1,1,2,2,2,2,2,2,8,8,3,10,10,10,10,6,6,6,6,11,11,7,7,7,7,7,7,0,0,0,0,0,0,1,1,1,4,4,2,6,6,6,6,6,6,6
3161,1984,1,13,1,0,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,0,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3
3163,1982,0,15,1,0,0,1,1,2,1,2,1,1,0,2,2,2,1,0,0,0,1,1,1,8,10,10,10,10,6,6,10,10,6,6,6,6,10,10,10,6,6,6,0,3,3,1,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3166,1980,1,17,0,0,0,2,0,0,2,2,0,1,2,2,0,2,2,1,2,2,0,2,2,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,6,6,6,6,6,8,8,8,8,8,8,8,8,8
3167,1984,1,13,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,6,6,6,8,8,8,8,8,8,8,8,8,8,8
3175,1984,1,13,1,0,1,1,2,1,1,2,0,0,0,2,0,2,2,2,0,0,0,0,0,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,1,1,1,1,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6
3176,1983,0,14,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,4,4,10,10,10,10,10,6,6,6,11,11,7,7,7,7,0,1,2,2,2,4,4,4,4,6,6,6,6,6,6,6,6,6,6
3179,1980,1,17,1,1,0,1,0,0,1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,8,8,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,0,1,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6
3180,1983,1,14,0,1,0,0,0,0,0,0,0,1,2,0,2,2,2,2,2,2,2,2,2,8,8,10,10,10,10,10,11,11,11,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,2,2,2,2,2,2,2,2,6,6,6,6,6
3181,1980,0,17,1,1,1,1,2,0,1,1,2,2,2,2,1,2,1,0,2,2,2,1,1,8,8,10,10,10,10,10,10,10,4,9,5,5,5,5,5,5,5,5,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3182,1980,1,17,1,1,1,0,1,1,1,0,0,1,1,2,2,2,2,2,2,0,2,2,2,8,10,10,10,10,11,11,11,11,7,7,7,7,7,7,7,7,7,7,0,1,1,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6
3185,1980,1,17,1,1,1,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,10,10,10,10,11,11,11,6,7,7,7,7,7,7,7,7,7,0,1,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6
3187,1983,0,14,0,1,1,1,0,1,0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,8,8,10,10,10,10,11,11,11,11,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,2,2,2,2,6,6,6,6,6,6,6,6,6
3189,1980,1,17,1,1,0,0,0,0,1,2,2,2,2,0,1,1,1,0,0,0,0,0,0,8,10,10,10,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,1,1,2,2,2,6,6,6,6,6,6,6,6,6,6
3192,1983,0,14,1,0,1,2,1,1,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,8,8,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,6,6,6,6,6,6,8,8,8,8,8,8,6,6,6,6
3193,1981,1,16,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,8,8,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3
3195,1983,0,14,0,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,8,3,3,3,3,3,3,3,3,9,5,5,5,5,5,5,5,5,5,0,1,1,1,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4
3196,1982,1,15,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,8,2,2,2,2,2,2,2,2,2,2,2,10,10,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
3199,1983,0,14,1,0,2,2,2,2,2,2,2,0,0,2,1,2,0,2,0,2,0,2,2,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
3205,1984,0,13,0,1,0,0,1,0,2,1,2,0,2,2,2,2,2,2,0,0,0,2,2,8,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3206,1982,0,15,1,0,0,2,2,0,0,2,1,2,2,2,2,2,2,2,2,2,2,2,0,8,8,9,10,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,4,6,6,6,6,6,6,8,8,8,8,8,8,8,6
3208,1981,0,16,0,1,2,2,2,0,0,0,2,0,1,1,1,1,0,0,1,0,2,2,2,8,8,9,4,4,4,4,4,9,10,10,11,11,11,11,11,7,7,7,1,1,1,1,2,2,6,6,8,8,8,8,8,8,8,8,8,8,8
3209,1981,0,16,0,1,0,0,0,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,0,8,10,9,9,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,0,0,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3212,1983,0,14,0,1,0,2,1,1,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,8,8,9,4,9,4,4,4,4,4,4,4,4,4,4,4,10,10,6,0,2,2,2,2,4,2,6,6,6,6,6,8,6,6,6,6,8,6
3214,1980,0,17,1,1,0,0,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,8,8,10,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,0,1,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3216,1982,1,15,1,0,2,1,1,1,2,1,0,1,2,2,2,1,1,1,2,2,2,0,2,8,9,9,4,4,4,4,4,4,4,4,4,9,5,5,5,5,5,5,2,2,2,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3217,1983,0,14,0,0,0,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6
3218,1980,0,17,1,1,0,2,2,2,0,2,0,2,0,2,0,1,1,1,2,2,2,0,0,8,8,3,3,3,3,3,3,3,3,4,9,9,9,10,6,6,6,6,0,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1
3223,1981,0,16,1,1,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,8,6,6,6,6,6,6,6,6,6,6
3231,1981,1,16,1,1,0,1,0,1,1,1,2,2,2,2,0,2,2,0,1,1,2,2,2,8,8,10,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6
3232,1983,1,14,1,1,0,0,0,1,2,1,0,0,2,2,2,2,2,2,2,2,2,2,2,8,8,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3233,1983,0,14,1,0,1,2,2,0,2,2,1,1,0,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,4,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8
