,BirthYear,HasSibling,Age,Sex,SingleorDoubleParent,EMP_HOURS_17,EMP_HOURS_18,EMP_HOURS_19,EMP_HOURS_20,EMP_HOURS_21,EMP_HOURS_22,EMP_HOURS_23,EMP_HOURS_24,EMP_HOURS_25,EMP_HOURS_26,EMP_HOURS_27,EMP_HOURS_28,EMP_HOURS_29,EMP_HOURS_30,EMP_HOURS_31,EMP_HOURS_32,EMP_HOURS_33,EMP_HOURS_34,EMP_HOURS_35,EducationStat_17,EducationStat_18,EducationStat_19,EducationStat_20,EducationStat_21,EducationStat_22,EducationStat_23,EducationStat_24,EducationStat_25,EducationStat_26,EducationStat_27,EducationStat_28,EducationStat_29,EducationStat_30,EducationStat_31,EducationStat_32,EducationStat_33,EducationStat_34,EducationStat_35,FinalRelationshipStat_17,FinalRelationshipStat_18,FinalRelationshipStat_19,FinalRelationshipStat_20,FinalRelationshipStat_21,FinalRelationshipStat_22,FinalRelationshipStat_23,FinalRelationshipStat_24,FinalRelationshipStat_25,FinalRelationshipStat_26,FinalRelationshipStat_27,FinalRelationshipStat_28,FinalRelationshipStat_29,FinalRelationshipStat_30,FinalRelationshipStat_31,FinalRelationshipStat_32,FinalRelationshipStat_33,FinalRelationshipStat_34,FinalRelationshipStat_35
5587,1980,0,17,0,1,0,0,1,2,0,0,2,2,2,0,2,2,2,2,2,2,2,1,2,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5591,1983,0,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5595,1983,0,14,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,8,10,10,10,10,11,6,11,11,11,11,11,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
5596,1981,1,16,0,0,0,1,2,0,2,2,2,2,2,0,0,0,0,2,0,0,2,2,2,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,4,4,4,4,2,2,2,2,2,2,6,6,6
5598,1981,0,16,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,8,8,9,9,10,10,10,10,10,10,10,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
5599,1982,0,15,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,8,8,10,10,9,10,4,4,4,4,4,4,4,4,10,6,6,6,6,0,1,1,1,1,1,1,1,1,1,5,5,5,7,7,7,7,7,7
5600,1981,0,16,1,1,0,0,0,0,0,0,2,2,2,2,2,1,1,1,1,2,2,2,2,8,1,1,2,2,2,2,2,4,4,4,4,9,10,10,6,6,6,11,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5601,1983,0,14,1,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,8,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,6,6,6,6,6,6,8,8,8
5602,1984,0,13,0,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6
5603,1980,0,17,1,0,0,1,1,0,1,1,1,2,2,2,2,2,0,0,1,1,0,2,0,8,10,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,2,4,4,2
5608,1982,0,15,1,0,0,2,0,2,2,2,2,1,1,1,2,2,2,1,1,2,2,2,1,8,3,3,3,3,3,3,9,4,4,4,4,4,4,4,4,4,4,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5609,1980,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,8,3,3,3,3,3,3,3,3,3,3,3,3,9,9,5,5,5,5,0,1,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5610,1981,1,16,1,0,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,9,10,10,10,10,6,6,6,6,10,10,10,10,11,11,7,7,7,1,2,2,2,2,6,6,6,6,6,6,8,8,8,8,8,8,6,6
