,Not Sexually Active,Single and Sexually Active,Single and is Parent,Cohabilitating,Cohabilitating and is Parent,Married and Without Children,Married is a Parent,Divorced,Divorced and is a Parent,Prediction,ActualValue,ID,t
977,2.0034746886767008e-05,0.005846453782447594,0.19206239117452764,2.9698442053191445e-05,0.6538575967624675,7.6788473262698e-06,0.14728569446126485,5.928608163312349e-05,0.0008311657013930999,Cohabilitating and is Parent,Cohabilitating and is Parent,315,13
978,1.8142829894990233e-05,0.004986702219732284,0.18436897341254316,3.9953969173204135e-05,0.6645109020471228,9.811823616289176e-06,0.14525310200888655,7.237202192400679e-05,0.0007400396671066268,Cohabilitating and is Parent,Cohabilitating and is Parent,315,14
979,9.897460199083436e-06,0.0032924981191745795,0.15479885148081082,7.931117766009406e-05,0.5962204977087481,2.6001582321519615e-05,0.24410955488955646,4.945150637547835e-05,0.0014139360751538362,Cohabilitating and is Parent,Married is a Parent,315,15
980,1.0067419946421745e-05,0.0006876441671494526,1.0257741851740594e-05,4.8536778421104414e-05,6.4576836128811255e-06,1.3288734812634213e-05,0.9907600606795341,1.6795137553536938e-05,0.008446891657118203,Married is a Parent,Married is a Parent,315,16
981,9.252536146721048e-06,0.0005952591977454451,9.993525113657729e-06,6.627025578670658e-05,6.660658030795384e-06,1.723291600707758e-05,0.9916416905134632,2.0807646468657536e-05,0.0076328327512378315,Married is a Parent,Married is a Parent,315,17
982,8.502758064226813e-06,0.0005152344481359944,9.735137210703849e-06,9.047378771927117e-05,6.869322977140169e-06,2.234551321752696e-05,0.9924245270414986,2.577619340222688e-05,0.006896535797774279,Married is a Parent,Married is a Parent,315,18
983,7.81300357684703e-06,0.0004459260450364943,9.482538519373732e-06,0.00012350543454293028,7.083858952351605e-06,2.897217273549493e-05,0.993114609282449,3.192815128739024e-05,0.006230679512900318,Married is a Parent,Married is a Parent,315,19
984,0.00015038284801830243,9.265432807519662e-07,0.32087772092910655,3.0254214873604626e-05,0.43911970343838763,3.047448916257091e-06,0.23635014774385715,1.2465650086784687e-06,0.0034665702685510395,Cohabilitating and is Parent,Cohabilitating and is Parent,316,8
985,0.00014895109896103306,1.28157805532022e-06,0.3316638240525717,4.3671066156614e-05,0.42700011836885404,4.422175469380765e-06,0.23752529334300007,2.1225912447916016e-06,0.0036103157256868446,Cohabilitating and is Parent,Cohabilitating and is Parent,316,9
986,0.00025430861606367,5.12589763449794e-06,0.323079653564561,6.648297962509458e-05,0.3574583347299932,1.614817160853268e-05,0.3124849550961363,8.828062425354056e-06,0.006626162881952491,Cohabilitating and is Parent,Cohabilitating and is Parent,316,10
987,0.000251167741941629,7.069792392070263e-06,0.33298565791496165,9.56920290211283e-05,0.34659945790475566,2.3365779457604127e-05,0.313141392143993,1.4989053592643774e-05,0.006881207639884579,Cohabilitating and is Parent,Cohabilitating and is Parent,316,11
988,0.00014411367702702783,3.3768236815341854e-06,0.36466912126340306,0.00013078043746644538,0.3909205279649674,1.3454261047237616e-05,0.24004744427188135,1.0433882617000011e-05,0.0040607474179090615,Cohabilitating and is Parent,Cohabilitating and is Parent,316,12
989,0.0001423285693411503,4.657246388173604e-06,0.3758365460903406,0.0001882314430387461,0.3790312571500647,1.9467082301942197e-05,0.24054290403650833,1.7714906375418428e-05,0.004216893475641051,Cohabilitating and is Parent,Cohabilitating and is Parent,316,13
990,0.00014046105354885774,6.418403222561379e-06,0.38705793837468344,0.0002707188587609852,0.3672303175228048,2.814613931985356e-05,0.24086015756661555,3.0054446158399624e-05,0.004375787634885541,Single and is Parent,Cohabilitating and is Parent,316,14
991,0.00013851302626504325,8.838847453571253e-06,0.3983123832334916,0.0003890592167527513,0.355527246334997,4.066377183038866e-05,0.24099511592397094,5.0950617960330244e-05,0.004537229027278174,Single and is Parent,Cohabilitating and is Parent,316,15
992,0.00013648569325656619,1.216259080615841e-05,0.40957501296772086,0.0005586949186383259,0.343929212888404,5.8702730475332086e-05,0.24094245540229833,8.630818782595072e-05,0.0047009646205745,Single and is Parent,Cohabilitating and is Parent,316,16
